
Host: ibcp24-083

Timers On : Tue Feb 24 10:16:33 2026
Timers Off: Tue Feb 24 10:28:26 2026

Wall Time:      713.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
build grid                          :      1.617u      0.000s      0.990w     11 calls
post-process grid                   :      0.617u      0.033s      0.384w     11 calls
DFH: sparsity prep                  :      0.100u      0.033s      0.080w     11 calls
Libint2ERI::Libint2ERI              :      0.350u      0.033s      0.211w     83 calls
DFH: initialize()                   :      3.100u      0.333s      2.080w     11 calls
DFH: AO Construction                :      0.983u      0.017s      0.587w    121 calls
DFH: AO-Met. Contraction            :      1.250u      0.250s      0.925w    121 calls
HF: Form core H                     :      0.033u      0.000s      0.052w     11 calls
HF: Form S/X                        :      0.017u      0.000s      0.010w     11 calls
HF: Guess                           :      0.150u      0.033s      0.106w     11 calls
SAD Guess                           :      0.133u      0.033s      0.103w      3 calls
HF: Form G                          :     52.383u      0.733s     31.602w     82 calls
RV: Form V                          :     50.300u      0.683s     30.271w     82 calls
Properties                          :     34.650u      0.433s     20.616w 123146 calls
Functional                          :     10.950u      0.150s      7.002w 123146 calls
V_xc                                :     14.300u      0.217s      8.593w 108580 calls
JK: D                               :      0.000u      0.000s      0.002w     82 calls
JK: USO2AO                          :      0.000u      0.000s      0.009w     82 calls
JK: JK                              :      2.017u      0.017s      1.241w     82 calls
DFH: compute_JK()                   :      1.983u      0.017s      1.239w     82 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    164 calls
DFH: compute_J                      :      0.800u      0.000s      0.536w    164 calls
DFH: compute_K                      :      1.167u      0.000s      0.659w    164 calls
JK: AO2USO                          :      0.050u      0.000s      0.008w     82 calls
HF: Form F                          :      0.000u      0.000s      0.002w     82 calls
HF: Form D                          :      0.000u      0.000s      0.001w     82 calls
HF: DIIS                            :      0.367u      0.050s      0.247w     79 calls
HF: Form C                          :      0.150u      0.000s      0.064w     79 calls
Grad: V T Perturb                   :      0.067u      0.000s      0.035w     11 calls
Grad: S                             :      0.000u      0.000s      0.005w     11 calls
Grad: JK                            :      5.050u      0.700s      3.482w     11 calls
JKGrad: Amn                         :      1.300u      0.333s      0.985w     11 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     11 calls
JKGrad: AB                          :      0.733u      0.000s      0.458w     11 calls
JKGrad: UV                          :      0.067u      0.050s      0.032w     11 calls
JKGrad: ABx                         :      0.050u      0.017s      0.061w     11 calls
JKGrad: Amnx                        :      2.850u      0.283s      1.879w     11 calls
Grad: XC                            :     14.317u      0.167s      8.619w     11 calls
V_xc gradient                       :      4.183u      0.050s      2.436w  14566 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.233u      0.033s      1.375w     11 calls
| build grid                        :      1.617u      0.000s      0.990w     11 calls
| post-process grid                 :      0.617u      0.033s      0.384w     11 calls
DFH: sparsity prep                  :      0.100u      0.033s      0.080w     11 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.033s      0.053w     11 calls
DFH: initialize()                   :      3.100u      0.333s      2.080w     11 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.045w     22 calls
| DFH: AO Construction              :      0.983u      0.017s      0.587w    121 calls
| DFH: AO-Met. Contraction          :      1.250u      0.250s      0.925w    121 calls
HF: Form core H                     :      0.033u      0.000s      0.052w     11 calls
HF: Form S/X                        :      0.017u      0.000s      0.010w     11 calls
HF: Guess                           :      0.150u      0.033s      0.106w     11 calls
| SAD Guess                         :      0.133u      0.033s      0.103w      3 calls
HF: Form G                          :     52.383u      0.733s     31.602w     82 calls
| RV: Form V                        :     50.300u      0.683s     30.271w     82 calls
| | Properties                      :     26.100u      0.333s     15.329w 108580 calls
| | Functional                      :      9.483u      0.133s      6.146w 108580 calls
| | V_xc                            :     14.300u      0.217s      8.593w 108580 calls
| JK: D                             :      0.000u      0.000s      0.002w     82 calls
| JK: USO2AO                        :      0.000u      0.000s      0.009w     82 calls
| JK: JK                            :      2.017u      0.017s      1.241w     82 calls
| | DFH: compute_JK()               :      1.983u      0.017s      1.239w     82 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    164 calls
| | | DFH: compute_J                :      0.800u      0.000s      0.536w    164 calls
| | | DFH: compute_K                :      1.167u      0.000s      0.659w    164 calls
| JK: AO2USO                        :      0.050u      0.000s      0.008w     82 calls
HF: Form F                          :      0.000u      0.000s      0.002w     82 calls
HF: Form D                          :      0.000u      0.000s      0.001w     82 calls
HF: DIIS                            :      0.367u      0.050s      0.247w     79 calls
HF: Form C                          :      0.150u      0.000s      0.064w     79 calls
Grad: V T Perturb                   :      0.067u      0.000s      0.035w     11 calls
Grad: S                             :      0.000u      0.000s      0.005w     11 calls
Grad: JK                            :      5.050u      0.700s      3.482w     11 calls
| JKGrad: Amn                       :      1.300u      0.333s      0.985w     11 calls
| | Libint2ERI::Libint2ERI          :      0.117u      0.000s      0.055w     11 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     11 calls
| JKGrad: AB                        :      0.733u      0.000s      0.458w     11 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     11 calls
| JKGrad: UV                        :      0.067u      0.050s      0.032w     11 calls
| JKGrad: ABx                       :      0.050u      0.017s      0.061w     11 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     11 calls
| JKGrad: Amnx                      :      2.850u      0.283s      1.879w     11 calls
| | Libint2ERI::Libint2ERI          :      0.117u      0.000s      0.044w     11 calls
Grad: XC                            :     14.317u      0.167s      8.619w     11 calls
| Properties                        :      8.550u      0.100s      5.287w  14566 calls
| Functional                        :      1.467u      0.017s      0.856w  14566 calls
| V_xc gradient                     :      4.183u      0.050s      2.436w  14566 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.012w      6 calls

**************************************************************************************

Host: ibcp24-083

Timers On : Tue Feb 24 13:59:41 2026
Timers Off: Tue Feb 24 14:07:08 2026

Wall Time:      446.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************
